CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
09.257.877/0001-37;2023-12-31;9;136086;FERROVIA NORTE SUL S/A;122941;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2023-11-29;;2024-01-01;1)Relatório de auditoria sobre as demonstrações contábeis em 31/12/2024, 31/12/2025, 31/12/2026, 31/12/2027 e 31/12/2028 elaboradas de acordo com as práticas contábeis adotadas no Brasil2)Relatórios de revisão das informações contábeis intermediárias em 31/03/2024, 30/06/2024, 30/09/2024, 31/03/2025, 30/06/2025, 30/09/2025, 31/03/2026, 30/06/2026, 30/09/2026, 31/03/2027, 30/06/2027, 30/09/2027, 31/03/2028, 30/06/2028, 30/09/2028 elaboradas de acordo com o CPC 21 (RI) e com a norma internacional IAS 34 - Interim Financial Reporting, emitida pelo Internacional Accounting Standards Board - IASB3)Relatórios de recomendações sobre os controles internos, compreendendo nossas constatações.;Não houve remuneração desse auditor no último exercício social.;Rotação do prestador de serviços de auditoria externa independente, conforme resolução CVM 23/2021.;Não Aplicável.
09.267.996/0001-70;2023-12-31;9;137987;YUNY INCORPORADORA HOLDING S.A.;124108;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2021-03-15;;2021-03-15;Os auditores independentes prestaram serviços para a Companhia de (i) auditoria das demonstrações financeiras individuais e consolidadas elaboradas de acordo com as práticas contábeis adotadas no Brasil e as normas internacionais de relatório financeiro aplicáveis às entidades de incorporação imobiliária no Brasil.;A remuneração em relação ao último exercício encerrado em 31 de dezembro de 2022 pelos serviços realizados acima foi de 645.552,00.;N/A;N/A
09.288.252/0001-32;2023-12-31;15;138415;ANIMA HOLDING S.A.;124522;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2018-01-01;;2018-01-01;Auditoria das demonstrações financeiras de acordo com as práticas contábeis adotadas no Brasil e Normas Internacionais de Relatório Financeiro ("IFRS") e revisão das informações contábeis intermediárias trimestrais de acordo com as normas brasileiras e internacionais de revisão de informações intermediárias (NBC TR 2410 - Revisão de Informações Intermediárias Executadas pelo Auditor da Entidade.;Os honorários relativos aos trabalhos em 2022 foram de R$ 4.402.553,00 (líquido de impostos) e que representa os honorários de serviços de auditoria externa.;Rotatividade de auditores prevista no artigo 31 da Resolução CVM nº 23/21;Não aplicável.
09.288.252/0001-32;2023-12-31;15;138415;ANIMA HOLDING S.A.;124523;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA;;61366936001440;004715;Nacional;2023-01-01;;2023-01-01;Exame dos balanços patrimoniais da Ânima Holding S.A. dos exercícios a findarem em 31 de dezembro de 2023, 2024 e 2025 e as correspondentes demonstrações do resultado, do resultado abrangente das mutações do patrimônio líquido, dos fluxos de caixa e do valor adicionado, dos exercícios a findarem nessas datas, incluindo as respectivas notas explicativas, preparados de acordo com as práticas contábeis adotadas no Brasil, bem como os balanços patrimoniais consolidados da Ânima Holding S.A. e empresas controladas em 31 de dezembro de 2023, 2024 e 2025, as demonstrações consolidadas do resultado, do resultado abrangente, dos fluxos de caixa e do valor adicionado dos exercícios a findarem nessas datas, incluindo as respectivas notas explicativas, de acordo com as normas internacionais de relatório financeiro - IFRS emitidas pelo International Accounting Standards Board (IASB) e de acordo com as práticas contábeis adotadas no Brasil. Em conjunto com a auditoria anual, o auditor realizará a revisão das informações financeiras trimestrais da Ânima Holding S.A. em 31 de março, 30 de junho e 30 de setembro de 2023, 2024 e 2025. Essa revisão será realizada de acordo com normas do CFC e IAASB.;Montante total da remuneração dos auditores independentes segregado por serviço Não aplicável, tendo em vista que a prestação de serviços se iniciou após o término do último exercício social.;Não se aplica.;Não se aplica
09.295.063/0001-97;2023-12-31;3;137795;TECHNOS S.A.;123909;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2015-01-28;;2015-01-28;Serviços de auditoria das demonstrações financeiras com a finalidade de emitir parecer sobre o balanço patrimonial e as respectivas demonstrações de resultado, das mutações do patrimônio líquido, dos fluxos de caixa e das demonstrações do valor adicionado e sua adequação com as posições patrimonial e financeira da Companhia referente aos exercícios sociais de 2015 e 2016. Revisão especial das informações trimestrais (ITR) de tais exercícios sociais.;Não se aplica, tendo em vista que a empresa em questão não prestou serviços para a Companhia no último exercício social.;A KPMG Auditores Independentes, empresa de auditoria externa que substituiu a Ernst & Young Auditores Independentes, foi mais competitiva no processo de negociação;Não se aplica, pois não houve discordância na substituição da empresa de auditoria externa
09.295.063/0001-97;2023-12-31;3;137795;TECHNOS S.A.;123910;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2017-04-27;;2017-04-27;Serviços de auditoria das demonstrações financeiras com a finalidade de emitir parecer sobre o balanço patrimonial e as respectivas demonstrações de resultado, das mutações do patrimônio líquido, dos fluxos de caixa e das demonstrações do valor adicionado e sua adequação com as posições patrimonial e financeira da Companhia referente aos exercícios sociais de 2016. Revisão especial das informações trimestrais (ITR) de tais exercícios sociais.;A remuneração total dos auditores independentes relativa ao exercício social encerrado em 31 de dezembro de 2020 foi de R$ 1,1 milhão. A empresa de auditoria independente não prestou outros serviços além da auditoria contábil.;Empresa foi mais competitiva no processo de negociação;Não se aplica, pois não há discordância do auditor da justificativa
09.295.063/0001-97;2023-12-31;3;137795;TECHNOS S.A.;123911;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2022-02-08;;2022-02-08;Serviços de auditoria das demonstrações financeiras com a finalidade de emitir parecer sobre o balanço patrimonial e as respectivas demonstrações de resultado, das mutações do patrimônio líquido, dos fluxos de caixa e das demonstrações do valor adicionado e sua adequação com as posições patrimonial e financeira da Companhia referente aos exercícios sociais de 2022. Revisão especial das informações trimestrais (ITR) de tais exercícios sociais.;A remuneração total dos auditores independentes relativa ao exercício social a se encerrar em 31 de dezembro de 2022 será de R$ 630 mil.;Rotatividade em função do prazo de 5 anos para prestação de serviço;Não se aplica, pois não há discordância do auditor da justificativa
09.305.994/0001-29;2023-12-31;14;137785;AZUL S.A.;123897;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2009-01-01;;2009-01-01;Auditoria das demonstrações financeiras consolidadas (inclui despesas a serem reembolsadas): R$ 4.420.000 Despesas reembolsadas. Não incluídas acima no total de taxas:  R$ 214.500 Total auditoria:  R$ 4.634.500 Due diligence de fusões e aquisições - finanças, contabilidade, impostos, previdência social e trabalho: R$ 338.155 Total de serviços de auditoria e relacionados à auditoria:  R$  4.972.655 ;Não foram prestados outros serviços que não tivessem relação com os serviços de auditoria independente. A remuneração total dos auditores independentes relativa ao exercício encerrado em 31 de dezembro de 2022, para os trabalhos de auditoria e revisão das demonstrações financeiras foi de R$4.635 mil.  Para os trabalhos de auditoria relativos à due diligence, a remuneração foi de R$338 mil A remuneração total dos auditores independentes relativas aos serviços prestados até 31 de dezembro de 2022 foi de R$4.973 mil.;Não aplicável.;Não aplicável.
09.313.969/0001-97;2023-12-31;6;132775;AUTOPISTA LITORAL SUL;120000;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2020-03-31;;2020-04-01;Renovação anual, sendo contratos consecutivos desde 2020 de serviços de auditoria das demonstrações financeiras, bem como a revisão especial das informações trimestrais emitidas dentro do mesmo período. Não serão prestados outros serviços para a Companhia.;A remuneração bruta dos auditores independentes, relativa ao exercício social de 2020, 2021 e 2022, corresponderam respectivamente, aos montantes deR$435.983,21, R$ 218.907,01 e R$ 248.731,72, destinados exclusivamente aos serviços de auditoria externa. Para o ano de 2023, o valor estimado de R$ 264.407,99 dosauditores independentes, destinado exclusivamente aos serviços de auditoria externa.;A alteração ocorre conforme previsto no artigo 31 da Resolução CVM nº 23, de 5 de fevereiro de 2021 ("Resolução CVM 23"),o qual determina que o auditor independente não pode prestar serviço para um mesmo cliente por um período superior a 5(cinco) anos, sendo admitido seu retorno após decorrido o prazo mínimo de 3 (três) anos, passou também a ser auditada pelaKPMG Auditores Independentes a partir da revisão das informações financeiras trimestrais (ITRs) do primeiro trimestre de2020.;.
09.324.949/0001-11;2023-12-31;2;131253;AUTOPISTA FLUMINENSE SA;119207;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2020-03-31;;2020-04-01;Renovação anual, sendo contratos consecutivos desde 2020 de serviços de auditoria das demonstrações financeiras, bem como a revisão especial das informações trimestrais emitidas dentro do mesmo período. Não serão prestados outros serviços para a Companhia.;A remuneração bruta dos auditores independentes, relativa aos exercícios sociais de 2020, 2021 e 2022, corresponderam respectivamente, aos montantes de R$ 359.731,82, R$ 201.845,63 e R$ 211.283,28 destinados exclusivamente aos serviços de auditoria externa. Para o ano de 2023, o valor estimado será de R$ 234.930,30 dos auditores independentes, destinado exclusivamente aos serviços de auditoria externa.;Não se aplica;Não se aplica
09.325.109/0001-73;2023-12-31;3;134111;AUTOPISTA PLANALTO SUL SA;121498;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2020-03-31;;2020-04-01;Renovação Anual, sendo contratos consecutivos desde 2020 de serviços de auditoria das demonstrações financeiras, bem como  a revisão especial das informações trimestrais emitidas dentro do mesmo período. Não serão prestados outros serviços para a Companhia.;A remuneração bruta dos auditores independentes, relativa ao exercício social de 2022, correspondeu ao montante de  R$319.469,82, destinado exclusivamente aos serviços de auditoria externa. Para o ano de 2023, o valor estimado será de R$228.888,05 dos auditores independentes, destinados exclusivamente aos serviços de auditoria externa.;Não se aplica;Não se Aplica
09.326.342/0001-70;2023-12-31;3;131702;AUTOPISTA FERNÃO DIAS SA;119686;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2015-02-26;;2015-02-26;Serviço de Auditoria;A remuneração bruta dos auditores independentes, relativa ao exercício social de 2019, correspondeu ao montante de R$ 370.155,98, a ser destinado exclusivamente aos serviços de auditoria externa .A remuneração bruta prevista dos auditores independentes, relativa ao exercício social de 2020, corresponde ao montante de aproximadamente R$ 231.921,12, destinados exclusivamente aos serviços de auditoria externa.;A alteração ocorre conforme previsto no Art.31 da Instrução CVM n° 308/99, o qual determina que "o auditor independente nãopode prestar serviço para um mesmo cliente por um período superior a 5 (cinco) anos, sendo admitido seu retorno apósdecorrido o prazo mínimo de 3 (três) anos", passou também a ser auditada pela KPMG Auditores Independentes a partir darevisão das informações financeiras trimestrais (ITRs) do primeiro trimestre de 2020.;Não aplicável
09.326.342/0001-70;2023-12-31;3;131702;AUTOPISTA FERNÃO DIAS SA;119687;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2020-03-31;;2020-03-31;Serviços de auditoria externa.;A remuneração bruta dos auditores independentes, relativa ao exercício social de 2022, corresponde ao montante de aproximadamente R$ 412.788,96 destinados exclusivamente aos serviços de auditoria externa. A remuneração bruta prevista dos auditores independentes, relativa ao exercício social de 2023, corresponde ao montante de aproximadamente R$ 389.599,90 destinados exclusivamente aos serviços de auditoria externa.;A alteração ocorre conforme previsto no art. 31 da Instrução Normativa 308/99, o qual determina que "o auditor independente não pode prestar serviço para um mesmo cliente por um período superior a 5 (cinco) anos, sendo admitido o retorno após decorrido  o prazo mínimo de 3 (três) anos".;A Deloitte Touche Tohmatsu Auditores Independentes, empresa de auditoria substituída, manifestou a sua anuência à justificativa de mudança realizada.
09.336.431/0001-06;2023-12-31;3;132777;AUTOPISTA REGIS BITTENCOURT SA;120002;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2020-03-31;;2020-04-01;Renovação anual, sendo contratos consecutivos desde 2020 de serviços de auditoria das demonstrações financeiras, bem como a revisão especial das informações trimestrais emitidas dentro do mesmo período. Não serão prestados outros serviços para a Companhia.;A remuneração bruta dos auditores independentes, relativa aos exercícios sociais de 2022, 2021 e 2020, correspondeu respectivamente, aos montantes de R$ 208.358,17, R$ 186.117,18 e R$ 292.733,34, destinados exclusivamente aos serviços de auditoria externa. Para o ano de 2023, o valor estimado será de R$ 228.888,05 dos auditores independentes, destinados exclusivamente aos serviços de auditoria externa.;A alteração ocorre conforme previsto no Art.31 da Instrução CVM n° 308/99, o qual determina que "o auditor independente não pode prestar serviço para um mesmo cliente por um período superior a 5 (cinco) anos, sendo admitido seu retorno após decorrido o prazo mínimo de 3 (três) anos", passou também a ser auditada pela KPMG Auditores Independentes a partir da revisão das informações financeiras trimestrais (ITRs) do primeiro trimestre de 2020.;Não aplicável
09.346.601/0001-25;2023-12-31;17;137720;B3 S.A. - BRASIL, BOLSA, BALCÃO;123812;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2013-02-21;;2013-02-21;Auditoria das Demonstrações Financeiras anuais e outros serviços não relacionados à auditoria.;Total em 2022 - Auditoria contábil: R$2.807 mil.;Rodízio de Auditor Independente, em cumprimento ao disposto no art. 28 da Resolução CVM nº 23, de 25 de fevereiro de 2021.;Não aplicável
09.346.601/0001-25;2023-12-31;17;137720;B3 S.A. - BRASIL, BOLSA, BALCÃO;123813;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2022-11-10;;2023-01-01;Auditoria das Demonstrações Financeiras anuais e outros serviços não relacionados à auditoria.;Não aplicável.;Não aplicável.;Não aplicável.
09.347.516/0001-81;2023-12-31;12;136820;ELETROMIDIA S.A.;123360;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2018-01-01;;2018-01-01;Auditoria das demonstrações financeiras da Companhia referentes aos exercícios sociais encerrados em 31 de dezembro de 2022, 2021 e 2020, preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e Normas Internacionais de Relatório Financeiro (IFRS), emitidas pelo International Accounting Standard Board (IASB), de acordo com as normas brasileiras e internacionais de auditoria.;A remuneração dos auditores independentes relativa ao exercício social findo em 31 de dezembro de 2022 foi de R$ 764.000,00 relativo a prestação de serviços de auditoria externa.;A contratação da Ernst & Young Auditores Independentes S.S. visa atender ao disposto no artigo 31 da Resolução CVM 23, o qual determina a rotatividade dos auditores independentes a cada cinco anos, e contou com a anuência dos nossos atuais auditores.;Não há.
09.359.927/0001-97;2023-12-31;3;135608;ASA BRANCA HOLDING S.A.;122436;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2022-08-05;;2022-08-05;Auditoria das demonstrações financeiras consolidadas referentes ao exercício social encerrado em 31 de dezembro de 2022, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards, emitidas pelo International Accounting Standards Board, e revisão das informações trimestrais de março, junho e setembro de 2022.;No exercício social encerrado em 31 de dezembro de 2022, os auditores independentes receberam honorários que totalizaram o valor de R$511 mil, líquido de tributos, referentes a serviços de auditoria das Demonstrações Financeiras anuais e revisão das informações trimestrais da Companhia.;Não aplicável.;Não aplicável.
09.391.823/0001-60;2023-12-31;11;135817;SANTO ANTONIO ENERGIA S.A.;122649;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2019-04-29;;2019-01-01;A Companhia celebrou com os auditores independentes, em 31/03/2022, contrato específico de prestação de serviços relativos à revisão limitada das demonstrações trimestrais (ITR) dos períodos findos em 31 de março de 2022 e 30 de junho de 2022. Desde 2019, a Companhia celebra os contratos anualmente com os auditores referentes aos períodos referentes ao ano em questão.;No exercício social encerrado em 31 de dezembro de 2022, a Companhia pagou R$ 340.000,00 à Deloitte Touche Tohmatsu Auditores pelos serviços de auditoria referentes ao ano de 2022 (revisão limitada das demonstrações trimestrais (ITR) dos períodos findos em 31 de março de 2022 e 30 de junho de 2022).;A substituição, em setembro de 2022, da Deloitte Touche Tohmatsu Auditores Independentes como auditor da Companhia que atuou como auditor externo nos exercícios encerrados em 31 de dezembro de 2019, 2020 e 2021, justifica-se pela assunção do controle da Madeira Energia S.A. pela Furnas Centrais Elétricas S.A. ("Grupo Eletrobras") que possui a PwC como seu auditor, e com o objetivo de evitar possíveis conflitos de interesses e de independência, por conta de eventuais outros serviços e relacionamentos que possam vir a ser firmados pela Deloitte e Grupo Eletrobras.;Não aplicável
09.391.823/0001-60;2023-12-31;11;135817;SANTO ANTONIO ENERGIA S.A.;122650;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2022-08-26;;2022-07-01;Os auditores independentes foram contratados para prestar serviços relativos à auditoria das demonstrações financeiras da Companhia, preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e normas internacionais de relatório financeiro (IFRS), referentes ao exercício social findo em 31 de dezembro de 2022, assim como, revisão limitada das demonstrações trimestrais (ITR) do período findo em 30 de setembro de 2022.;No exercício social encerrado em 31 de dezembro de 2022, a Companhia pagou R$ 870.000,00 aos auditores independentes pelos serviços de auditoria.;Não aplicável.;Não aplicável
09.414.761/0001-64;2023-12-31;1;127734;K-INFRA RODOVIA DO AÇO S.A.;115805;Baker Tilly Brasil RJ Auditores Independentes;;13859935000170;011932;Nacional;2020-04-22;;2020-04-22;Auditoria das demonstrações contábeis e revisões trimestrais de acordo com as normas contábeis brasileiras e CVM para os exercícios findos em 2020-2021-2022-2023-2024.;De 22/04/2020 à 31/05/2023 foram remunerados no montante total de R$ 263.865,05.;Conforme Instrução da CVM.;Nada a declarar.
09.478.309/0001-66;2023-12-31;2;133187;BRASIL BIOFUELS S.A.;120493;Grant Thornton Auditores Independentes Ltda;;10830108000165;011274;Nacional;2023-06-20;;2020-01-01;Auditoria sobre as demonstrações contábeis individuais e consolidadas da Companhia incluindo suas subsidiárias, que compreendem os balanços patrimoniais referentes aos exercícios sociais encerrados em 2020 e 2021, e as respectivas demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido, dos fluxos de caixa e dos valores adicionados para os exercícios findos naquelas datas, incluindo as respectivas notas explicativas, de acordo com as práticas contábeis adotadas no Brasil (BRGAAP) e normas internacionais de relatório financeiro (IFRS).;A remuneração paga aos auditores independentes referentes aos serviços prestados foi R$273.000,00.;Devido a Grant Thornton auditar o Grupo BBF há mais de 5 anos a administração entendeu pela promoção de rodízio de auditores.;N/A
09.478.309/0001-66;2023-12-31;2;133187;BRASIL BIOFUELS S.A.;120494;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2023-06-13;;2022-01-01;Auditoria sobre as demonstrações contábeis individuais e consolidadas da Companhia incluindo suas subsidiárias, que compreendem os balanços patrimoniais referentes aos exercícios sociais encerrados em dezembro 2022 e dezembro 2023, incluindo as informações intermediárias de 30.06.2023 e dos períodos findos em 31.03.2023, 30.06.2023 e 30.09.2023 e as respectivas demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido, dos fluxos de caixa e dos valores adicionados para os exercícios findos naquelas datas, incluindo as respectivas notas explicativas, de acordo com as práticas contábeis adotadas no Brasil (BRGAAP) e normas internacionais de relatório financeiro (IFRS).;A remuneração paga aos auditores independentes referentes aos serviços prestados relativos ao exercício social encerrado em 2022 de R$ 416.958,15, líquido de impostos.;N/A;N/A
09.527.023/0001-23;2023-12-31;6;139422;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;125543;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2021-03-30;;2021-03-30;Os serviços contratados foram: (i) auditoria das demonstrações contábeis individuais e consolidadas elaboradas de acordo com as práticas contábeis adotadas no Brasil e as normas internacionais de relatório financeiro- International Financial Reporting Standards - IFRS para o exercício findo em 31 de dezembro de 2022 (ii) revisão das informações contábeis intermediárias individuais e consolidadas correspondentes aos trimestres findos em 31 de março, 30 de junho, 30 de setembro de 2022, preparadas de acordo com a CPC 21 R1 / IAS 34 e normas expedidas pela CVM.;A remuneração dos auditores independentes relativa ao exercício social de 2022 totalizou o montante de R$ 440.000,00.;Não houve substituição de auditores no período.;Não aplicável.
09.538.973/0001-53;2023-12-31;3;136207;PDG COMPANHIA SECURITIZADORA;123081;PP&C Auditores Independentes S/S;;67643825000103;006092;Nacional;2018-06-19;;2018-06-19;Revisão das demonstrações financeiras trimestrais (ITRs) e anual (DFP);Para o exercício social encerrado em 31 de dezembro de 2022, os auditores independentes receberam honorários, no valor total de R$ 63.000, referentes aos serviços de auditoria das demonstrações financeiras da PDG Companhia Securitizadora.;Rodízio de auditor independente, em atendimento ao disposto no art. 28 da Resolução CVM nº 23/21;Não Aplicável
09.538.973/0001-53;2023-12-31;3;136207;PDG COMPANHIA SECURITIZADORA;123082;Grant Thornton Auditores Independentes Ltda;;10830108000165;011274;Nacional;2023-02-16;;2023-02-16;Revisão das demonstrações financeiras individual e consolidados e auditora trimestrais e auditoria das demonstraçõesfinanceiras anuais.;Os auditores independentes receberam honorários, no valor total de R$ 370.000, referentes aos serviços de auditoria das demonstrações financeiras individuais e consolidadas da PDG Realty (no total de R$ 325.000) e, de sua controlada PDG Companhia Securitizadora (no montante de R$ 45.000). Não houve contratação de outros serviços além dos de auditoria.;Rodízio de auditor independente, em atendimento ao disposto no art. 28 da Resolução CVM nº 23/21;Não aplicável.
09.584.854/0001-37;2023-12-31;3;133661;MANAUS TRANSMISSORA DE ENERGIA S.A;121094;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2017-03-13;;2017-01-01;Serviço 1: auditoria das demonstrações financeiras elaboradas de acordo com práticas contábeis adotadas no Brasil e com as normas internacionais de relatório financeiro (IFRS) e auditoria das demonstrações regulatórias preparadas de acordo com o Manual de Contabilidade do Setor (MCSE) para o exercício social encerrado em 31 de dezembro de 2022. Serviço 2: Revisão das informações trimestrais (ITRs) para os períodos findos em 31 de março, 30 de junho e 30 de setembro de 2022. Serviço 3: Execução de procedimentos de asseguração limitada com emissão de relatório sobre o cálculo do Índice de Cobertura de Serviço da Dívida ("ICSD") e do Índice de Capital Próprio ("ICP"). Serviço 4: Tradução das demonstrações financeiras referentes ao exercício encerrado em 31 de dezembro de 2022.;Os honorários mencionados abaixo referem-se ao exercício social de 2022: Serviço 1:R$199.287 Serviço 2:R$88.716 Serviço 3:R$9.099 Serviço 4: R$5.000 ;Não aplicável.;Não se aplica, visto que não houve discordância do auditor independente.
09.611.768/0001-76;2023-12-31;4;138011;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;124124;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2022-03-30;;2022-03-30;Os serviços foram contratados em 30/03/2022 e contemplam o exame das demonstrações contábeis individuais e consolidadas preparadas em conformidades as práticas contábeis adotadas no Brasil, com a aplicação de procedimentos técnico que tem por objetivo a emissão de opinião dos auditores independentes, de acordo com as legislações especificas dos órgãos regulamentadores, para as demonstrações contábeis individuais e consolidada do exercício a findar-se em 31 de dezembro de 2022;Valor líquidos de tributos - R$ 197.000,00Tributos - 14,25%R$ 32.737,61Valor total - R$ 229.737,61;Não aplicável.;Não aplicável.
09.625.321/0001-56;2023-12-31;3;133665;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;121098;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2017-03-13;;2017-03-13;Serviço 1: Auditoria das demonstrações financeiras elaboradas de acordo com práticas contábeis adotadas no Brasil ecom as normas internacionais de relatório financeiro (IFRS) e auditoria das demonstrações regulatórias preparadas de acordo com o Manual de Contabilidade do Setor (MCSE) para o exercício social encerrado em 31 de dezembro de 2022. Serviço 2: Revisão das informações trimestrais (ITRs) para os períodos findos em 31 de março, 30 de junho e 30 de setembro de 2022 Serviço 3: Execução de procedimentos de asseguração limitada com emissão de relatório sobre o cálculo do Índice de Cobertura de Serviço da Dívida ("ICSD") e do Índice de Capital Próprio ("ICP") Serviço 4: Tradução das demonstrações financeiras referentes ao exercício encerrado em 31 de dezembro de 2022.;Os honorários mencionados abaixo referem-se ao exercício social de 2021. Serviço 1:R$ 183.118,00 reais,Serviço 2:R$ 54.345,00 reais, Serviço 3:R$ 8.361,00 reais, Serviço 4:R$ 5.000,00 reais;Não aplicável;Não se aplica, visto que não houve discordância do auditor independente.
09.813.204/0001-16;2023-12-31;2;134424;W2W E-COMMERCE DE VINHOS S.A.;121716;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2012-01-01;;2012-01-01;Os serviços prestados são:(i) Auditoria das demonstrações financeiras individuais e consolidadas preparadas de acordo com as práticas contábeis adotadas no Brasil e as normas internacionais de contabilidade International Financial Reporting Standards ("IFRS").(ii) Revisões das informações contábeis intermediárias individuais e consolidadas contidas no Formulário de Informações Trimestrais ("ITR") referentes aos trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2022, preparadas de acordo com o Pronunciamento Técnico CPC 21 - Demonstrações Intermediárias e com a norma internacional de contabilidade IAS 34 - Interim Financial Reporting, emitida pelo IASB, assim como das Demonstrações Financeiras Padronizadas ("DFP") referentes ao 2022.(iii) Exame do demonstrativo do Índice Financeiro em 30 de junho de 2022.;No exercício social encerrado em 31 de dezembro de 2022, a remuneração dos auditores independentes totalizou o valor de R$ 523 mil , sendo R$ 503 mil referente aos trabalhos de emissão das demonstrações financeiras e demonstrações intermediárias trimestrais de 2022 e R$ 20 mil referente ao demonstrativo de Índice Financeiro. ;Não aplicável.;Não aplicável.
10.139.870/0001-08;2023-12-31;4;135927;NEOGRID PARTICIPAÇÕES S.A.;122757;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2022-02-03;;2022-03-31;Os auditores independentes prestaram os seguintes serviços para a Companhia (i) auditoria das demonstrações financeiras individuais e consolidadas da Companhia, referentes ao exercício social findo em 31 de dezembro de 2022, preparadas de acordo com as normas internacionais de relatório financeiro - IFRS emitidas pelo International Accounting Standards Board (IASB) e de acordo com as práticas contábeis adotadas no Brasil e (ii) revisão das informações trimestrais (ITR) referentes aos períodos findos em 31 de março, 30 de junho e 30 de setembro de 2022, preparadas de acordo com as normas brasileiras e internacionais de revisão de informações intermediárias (NBC TR 2410 - Revisão de Informações Intermediárias Executada pelo Auditor da Entidade e ISRE 2410 - Review of Interim Financial Information Performed by the Independent Auditor of the Entity, respectivamente).;Em 2022, o valor dos honorários relativos a serviços de auditoria externa foi de R$ 608.000,00 (seiscentos e oito mil reais), líquido de impostos.;Não Aplicável;Não Aplicável
